Experiment Name, 20210720_125352_Exp800.15_LAB_Q16.1_stds1..16
Amplification Raw Data:
Well1-Chan1,Well2-Chan1,Well3-Chan1,Well4-Chan1,Well5-Chan1,Well6-Chan1,Well7-Chan1,Well8-Chan1,Well9-Chan1,Well10-Chan1,Well11-Chan1,Well12-Chan1,Well13-Chan1,Well14-Chan1,Well15-Chan1,Well16-Chan1,
-274.15, -363.68, -96.58, -23.72, -39.89, -25.91, -19.99, -27.95, -35.45, -92.35, -42.69, -56.39, -70.32, -23.06, -48.91, -39.00, 
-545.19, -724.24, -190.05, -47.40, -77.85, -50.62, -38.53, -54.13, -68.48, -179.77, -82.27, -108.85, -136.88, -43.00, -94.71, -74.87, 
-412.72, -605.21, -170.53, -27.93, -29.95, -37.41, -26.85, -25.42, -19.46, -114.95, -51.32, -50.50, -67.87, -61.81, -53.00, -45.27, 
-337.32, -512.34, -145.57, -4.51, -11.68, -5.68, -16.07, -4.70, -18.87, -17.10, -24.34, -14.88, -29.46, -9.28, -33.42, -4.17, 
-241.02, -436.88, -138.69, 0.65, -4.71, -8.06, -9.02, -8.44, 11.48, -13.67, -12.76, -13.00, -21.63, -22.57, -27.88, -20.82, 
-154.74, -297.48, -126.37, 12.79, -1.34, -0.61, -10.42, -6.02, -10.24, 18.53, -9.18, -5.11, -13.54, -1.51, -22.96, -5.82, 
-73.78, -176.86, -91.80, 29.96, 9.76, -7.86, 6.51, 0.27, -4.29, -17.14, 9.25, 40.88, -5.18, -14.01, 7.57, 2.53, 
11.27, -46.09, -78.70, 50.24, 11.98, 1.47, 1.79, 3.91, 6.39, 5.69, 2.86, 3.26, 11.49, 3.80, 1.85, 14.29, 
66.78, 88.77, -46.04, 79.85, 4.48, 6.06, -2.81, -6.95, -6.87, -2.20, -6.17, -3.86, -4.58, -0.52, -7.18, -12.22, 
123.02, 207.54, 35.08, 129.94, 27.20, 7.61, 8.48, 2.50, 10.15, 0.61, 9.73, -3.32, 41.38, 5.97, 19.48, 5.02, 
175.95, 304.16, 108.17, 203.74, 32.80, 15.64, 7.71, 5.11, 5.83, 8.80, 3.49, -21.32, 30.74, 8.46, 17.27, 1.47, 
202.02, 395.45, 188.70, 321.50, 40.47, 31.66, 9.16, 10.84, 2.07, 3.25, 5.35, 8.93, 27.48, 11.67, 13.76, 18.13, 
230.14, 476.02, 297.51, 488.96, 65.47, 44.44, 17.06, 5.53, 6.15, 16.88, 24.06, 11.32, 60.24, 20.30, 33.81, 3.89, 
249.56, 502.17, 368.70, 729.49, 102.69, 55.12, 13.08, 10.64, -0.16, 4.01, 11.88, 10.38, 29.82, 14.84, 11.55, 8.52, 
269.69, 555.91, 438.58, 1047.78, 159.26, 75.14, 19.00, 0.97, -1.23, -7.75, 9.15, -27.72, 45.93, 22.19, 16.21, -17.08, 
291.18, 576.73, 508.49, 1479.57, 242.79, 112.00, 26.22, 12.17, 5.02, 6.03, 19.88, 6.08, 47.09, 28.89, 20.89, 19.21, 
297.91, 609.68, 565.64, 1963.18, 372.12, 156.64, 34.93, 9.16, 8.17, 10.28, 11.15, 9.47, 52.91, 35.62, 16.86, 3.08, 
320.12, 586.85, 620.80, 2499.28, 581.98, 215.50, 47.96, 15.12, 15.53, -15.16, 15.21, 47.56, 100.15, 9.43, 24.28, 3.78, 
301.34, 599.66, 652.45, 3025.52, 852.44, 314.58, 63.36, 15.82, 2.61, -1.29, 11.22, -2.24, 108.04, 23.59, 13.57, 5.17, 
315.52, 605.77, 690.83, 3514.90, 1225.47, 457.54, 85.47, 19.09, 9.04, 5.18, 18.67, 14.77, 115.73, 29.70, 36.49, 14.64, 
306.84, 630.72, 709.72, 3919.58, 1689.77, 649.53, 126.17, 24.31, 2.57, 20.16, 14.03, 15.77, 111.06, 41.19, 1.59, -3.45, 
321.03, 618.02, 746.10, 4241.47, 2211.48, 906.40, 187.11, 37.91, 28.63, -5.19, 24.19, 19.35, 149.30, 25.80, 35.28, 6.71, 
329.18, 624.82, 744.16, 4475.93, 2776.56, 1252.10, 269.31, 53.49, 15.97, 9.83, 16.20, 17.09, 195.61, 35.96, 19.22, 9.47, 
331.27, 631.62, 741.55, 4648.39, 3293.94, 1671.44, 390.82, 80.96, 11.84, 10.01, 2.83, 20.87, 214.11, 47.47, 22.66, 24.34, 
336.73, 610.85, 761.79, 4768.29, 3751.88, 2143.40, 579.13, 125.60, 15.23, -18.43, 6.26, 21.49, 208.98, 32.08, 30.13, 10.97, 
355.62, 624.36, 768.58, 4840.66, 4121.25, 2630.95, 837.12, 190.54, 26.17, 7.40, 16.41, 6.39, 270.10, 44.25, 18.09, -9.81, 
351.64, 627.10, 755.19, 4892.92, 4388.56, 3114.67, 1170.57, 302.02, 33.02, -0.56, -2.36, 7.11, 305.99, 44.30, 12.10, 1.00, 
373.19, 630.51, 768.00, 4930.58, 4593.61, 3555.61, 1599.05, 483.11, 53.84, 0.36, 7.77, 10.54, 387.36, 47.03, 29.62, -5.68, 
372.54, 623.13, 785.51, 4962.46, 4736.91, 3925.35, 2090.08, 767.62, 87.02, -5.39, 7.79, 41.06, 426.33, 38.99, 33.68, 10.48, 
398.10, 631.87, 786.18, 4970.39, 4838.15, 4225.63, 2607.76, 1133.24, 150.15, 8.38, 14.51, 10.27, 500.66, 48.40, 18.21, -13.05, 
400.09, 600.25, 798.26, 4989.07, 4897.21, 4441.48, 3108.37, 1645.58, 260.87, -19.60, 27.94, 56.28, 589.92, 35.60, 39.03, 11.13, 
381.21, 613.65, 784.76, 4989.16, 4927.64, 4615.50, 3561.37, 2232.14, 431.69, 10.97, 9.06, 72.56, 650.86, 35.55, 21.50, 7.04, 
397.27, 598.77, 794.76, 4997.80, 4956.28, 4728.07, 3949.53, 2848.50, 746.15, 6.25, 12.34, 111.11, 818.18, 24.04, 29.48, 10.32, 
399.84, 609.41, 800.70, 4995.48, 4976.32, 4820.25, 4258.06, 3417.51, 1221.91, 72.04, 16.26, 174.02, 912.46, 31.32, 38.78, 0.79, 
395.64, 599.84, 801.88, 5002.82, 4980.82, 4877.10, 4486.71, 3887.97, 1847.46, 154.70, 14.75, 315.53, 1045.02, 19.06, 29.21, 11.39, 
400.82, 611.74, 801.68, 5001.02, 4987.23, 4923.85, 4650.89, 4253.56, 2584.43, 343.65, -0.91, 417.59, 1206.86, 32.30, 20.94, 0.43, 
422.77, 601.41, 804.80, 5003.96, 5001.66, 4951.02, 4769.31, 4523.62, 3321.04, 605.24, 0.19, 665.99, 1430.63, 28.02, 31.45, -1.16, 
422.47, 591.70, 804.51, 5008.01, 4995.06, 4966.41, 4846.38, 4705.66, 3914.47, 1054.47, -9.52, 1043.54, 1626.14, 27.06, 19.06, 4.60, 
410.02, 583.29, 820.97, 5005.17, 4992.87, 4975.34, 4908.29, 4822.95, 4337.38, 1681.03, -11.21, 1546.32, 1845.13, 10.57, 24.09, -7.85, 
428.44, 580.19, 808.46, 5004.64, 4998.97, 4987.44, 4938.19, 4901.90, 4633.70, 2496.98, -16.32, 2198.53, 2171.74, 19.58, 18.30, -8.25, 
435.38, 584.44, 821.44, 5004.83, 4994.87, 4997.08, 4974.79, 4958.65, 4818.86, 3302.05, 2.04, 2891.90, 2363.02, 26.51, 46.75, -5.36, 












































































































































































































































































































































































































































































